opponent_id,opponent_Rdiff,opponent_SRS,opponent_R_G,opponent_R,opponent_RBI,opponent_OBP,opponent_OPSP,opponent_RA,opponent_ERA,opponent_SV,opponent_HA,opponent_ER,opponent_ERAP,opponent_WHIP,Outcome
1,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
17,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
41,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
55,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
70,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
85,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
188,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
201,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
216,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
294,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
320,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
321,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
331,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
359,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
374,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
386,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
412,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
517,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
531,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
545,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
571,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
587,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
613,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
627,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
641,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
751,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
766,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
780,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
792,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
899,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
915,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
931,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
953,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
954,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
970,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
982,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1094,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1109,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1124,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1136,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1190,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1204,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1221,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1233,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1246,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1261,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1273,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1287,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1302,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1317,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1475,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1488,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1502,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1514,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1525,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1539,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1554,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1689,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1702,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1715,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1729,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1744,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1867,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1882,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1895,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1909,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1924,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
1939,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
2104,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
2119,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
2135,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
2158,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
2173,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
2186,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
2339,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
2352,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
2367,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
2377,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
2390,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
2405,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
2420,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,0
