id,Rdiff,SRS,R_G,R,RBI,OBP,OPSP,RA,ERA,SV,HA,ER,ERAP,WHIP
49,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
64,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
79,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
94,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
103,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
116,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
237,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
252,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
267,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
281,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
290,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
302,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
316,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
423,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
438,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
453,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
